Image Pair,Dice,SSIM,MSE,Mean SSIM,Mean MSE,Mean Time,Mean NegJ
301,0.003105729242434426,0.7221178638423353,0.019350528717041016,-,-,-,-
302,0.003346023975884786,0.7266890867003459,0.027977705001831055,-,-,-,-
303,0.003140150097973482,0.7112119120549925,0.022858142852783203,-,-,-,-
304,0.0023206365190635127,0.7798080478027457,0.030189037322998047,-,-,-,-
305,0.0028633650334121204,0.7435693223863679,0.02348947525024414,-,-,-,-
306,0.0030006189231466846,0.7538200320533998,0.016939163208007812,-,-,-,-
307,0.002115806441286653,0.7876377295519581,0.020720958709716797,-,-,-,-
308,0.002119081413387036,0.7763029109600739,0.0187528133392334,-,-,-,-
309,0.0030256844068109836,0.7202898955456143,0.02484726905822754,-,-,-,-
310,0.0024151619598209587,0.7408125909234629,0.016562700271606445,-,-,-,-
311,0.002622477057060202,0.7470660432692363,0.019137144088745117,-,-,-,-
312,0.003335825545318016,0.7333167362507228,0.016869068145751953,-,-,-,-
313,0.0035007396445504214,0.7185417367729562,0.023868083953857422,-,-,-,-
314,0.0025511323366756026,0.7459682798733785,0.027520418167114258,-,-,-,-
315,0.002126738731849187,0.7659543896539829,0.01725625991821289,-,-,-,-
316,0.002108886506861829,0.7712887305578476,0.019151687622070312,-,-,-,-
317,0.0022557851502609102,0.7396492139941899,0.022126197814941406,-,-,-,-
318,0.0023921454926794537,0.745943912174281,0.01751255989074707,-,-,-,-
319,0.0024917656324665435,0.7537776782971672,0.04317045211791992,-,-,-,-
320,0.002899273668223046,0.7267098688430536,0.021831989288330078,-,-,-,-
321,0.002595756583599614,0.7728330682238974,0.019727706909179688,-,-,-,-
322,0.0022874231404096316,0.7650317273142908,0.02161431312561035,-,-,-,-
323,0.0022693807120563866,0.769264536206865,0.016826629638671875,-,-,-,-
324,0.002291811456217078,0.7523640024972543,0.020085573196411133,-,-,-,-
325,0.0022971244202292834,0.7543087997291116,0.019657373428344727,-,-,-,-
326,0.0020218772127758317,0.7686903316980722,0.024926185607910156,-,-,-,-
327,0.002048714327047681,0.7735791415544264,0.018006324768066406,-,-,-,-
328,0.0023833693117323307,0.7810542976012237,0.018901824951171875,-,-,-,-
329,0.0027787691356590946,0.7617935596003842,0.02112293243408203,-,-,-,-
330,0.0027084891814891303,0.7676422080082298,0.016515254974365234,-,-,-,-
331,0.0020939949116343115,0.7728026315967809,0.025240659713745117,-,-,-,-
332,0.002155958252731812,0.7683910645794719,0.019766807556152344,-,-,-,-
333,0.0021552288648845064,0.7820702483454239,0.017360210418701172,-,-,-,-
334,0.002220150821882072,0.778434556158855,0.02069830894470215,-,-,-,-
335,0.002675513561309965,0.7294244749930031,0.0329587459564209,-,-,-,-
336,0.0021044751431948208,0.7886466923447268,0.02722954750061035,-,-,-,-
337,0.002404079002310411,0.7647990243989139,0.018241405487060547,-,-,-,-
338,0.0024365394812276026,0.7443032885370306,0.019548416137695312,-,-,-,-
339,0.0019880881331202954,0.7649622141700031,0.023752450942993164,-,-,-,-
