Image Pair,Dice,SSIM,MSE,Mean Dice,Mean SSIM,Mean MSE,Mean Time,Mean NegJ
291,0.6901460915566616,0.0024544847798458375,0.7621069608109445,-,-,-,-,-
292,0.6736324407181749,0.002765185140841453,0.7472188547601322,-,-,-,-,-
293,0.6583015875249627,0.0023207611666470856,0.784070392420717,-,-,-,-,-
294,0.6460621639563249,0.0024773555982434323,0.7612427467625148,-,-,-,-,-
295,0.602436534409313,0.00200644595726344,0.7668999566957462,-,-,-,-,-
296,0.7312136923415294,0.002208649334698265,0.7469394833049913,-,-,-,-,-
297,0.7329514388006305,0.0020501435833621072,0.7653994496119882,-,-,-,-,-
298,0.681939260302072,0.0021815593925919546,0.7540619259071061,-,-,-,-,-
299,0.6361095601831743,0.0022473483835128744,0.7505200638460902,-,-,-,-,-
300,0.5264019512740609,0.003105741257043171,0.722114130014198,-,-,-,-,-
301,0.5827056467345122,0.003346023975884786,0.7266890867003459,-,-,-,-,-
302,0.5591387130998725,0.003140150097973482,0.7112119120549925,-,-,-,-,-
303,0.5969388062156384,0.0023206365190635127,0.7798080478027457,-,-,-,-,-
304,0.5659575516955904,0.0028633650334121204,0.7435693223863679,-,-,-,-,-
305,0.52125952254365,0.0030006189231466846,0.7538200320533998,-,-,-,-,-
306,0.5587307434455914,0.002115806441286653,0.7876377295519581,-,-,-,-,-
307,0.6326535878594338,0.002119081413387036,0.7763029109600739,-,-,-,-,-
308,0.702893035520967,0.0030256844068109836,0.7202898955456143,-,-,-,-,-
309,0.7023287762527102,0.0024151619598209587,0.7408125909234629,-,-,-,-,-
310,0.6814395322658963,0.002622477057060202,0.7470660432692363,-,-,-,-,-
311,0.626662280552522,0.003335825545318016,0.7333167362507228,-,-,-,-,-
312,0.616683285876496,0.0035007396445504214,0.7185417367729562,-,-,-,-,-
313,0.6224252213275212,0.0025511323366756026,0.7459682798733785,-,-,-,-,-
314,0.722197441204768,0.002126738731849187,0.7659543896539829,-,-,-,-,-
315,0.6957834875684208,0.002108886506861829,0.7712887305578476,-,-,-,-,-
316,0.7153953925652847,0.0022557851502609102,0.7396492139941899,-,-,-,-,-
317,0.6257517728942519,0.0023921454926794537,0.745943912174281,-,-,-,-,-
318,0.6338061616377779,0.0024917656324665435,0.7537776782971672,-,-,-,-,-
319,0.546775169209114,0.002899273668223046,0.7267098688430536,-,-,-,-,-
320,0.5761268941315592,0.002595756583599614,0.7728330682238974,-,-,-,-,-
321,0.6678179454422069,0.0022874231404096316,0.7650317273142908,-,-,-,-,-
322,0.6403881546979526,0.0022693807120563866,0.769264536206865,-,-,-,-,-
323,0.5934532190184666,0.002291811456217078,0.7523640024972543,-,-,-,-,-
324,0.6674712706883266,0.0022971244202292834,0.7543087997291116,-,-,-,-,-
325,0.6365545135597118,0.0020218772127758317,0.7686903316980722,-,-,-,-,-
326,0.599506810748015,0.002048714327047681,0.7735791415544264,-,-,-,-,-
327,0.6332795303193502,0.0023833693117323307,0.7810542976012237,-,-,-,-,-
328,0.628560335443274,0.0027787691356590946,0.7617935596003842,-,-,-,-,-
329,0.6414654149328973,0.0027084891814891303,0.7676422080082298,-,-,-,-,-
330,0.6267432727671794,0.0020939949116343115,0.7728026315967809,-,-,-,-,-
331,0.6156628941385817,0.002155958252731812,0.7683910645794719,-,-,-,-,-
332,0.6178242152374799,0.0021552288648845064,0.7820702483454239,-,-,-,-,-
333,0.6878489819637015,0.002220150821882072,0.778434556158855,-,-,-,-,-
334,0.6031533390354602,0.0026755090558319003,0.7294273211064676,-,-,-,-,-
335,0.699681785131657,0.0021044751431948208,0.7886466923447268,-,-,-,-,-
336,0.7060466743579545,0.002404079002310411,0.7647990243989139,-,-,-,-,-
337,0.7057010090002674,0.0024365394812276026,0.7443032885370306,-,-,-,-,-
338,0.6781830370777518,0.001988200770090387,0.7649006309268415,-,-,-,-,-
339,0.6228738265709923,0.0019587749756020995,0.7651070918638634,-,-,-,-,-
340,0.6164609621895288,0.0023305225482568898,0.7319486294260807,-,-,-,-,-
341,0.7086830606748649,0.0015888376156479348,0.8011290574203004,-,-,-,-,-
342,0.6379346017716199,0.002344511562331656,0.7532637452589509,-,-,-,-,-
343,0.6428006844620417,0.0029561403448668125,0.7488576440973517,-,-,-,-,-
344,0.6295554529044222,0.0030837755655040173,0.7444171558317952,-,-,-,-,-
345,0.5838641672320024,0.003419192956794781,0.7367273028629375,-,-,-,-,-
346,0.49112957347341857,0.004096062539823701,0.6909296350039211,-,-,-,-,-
